region,piso_ecologico,distrito,anio,numero_mes,mes,num_cultivos,produccion_piso_ton,temp_promedio,temp_maxima,temp_minima,precipitacion,humedad_relativa,radiacion_solar,velocidad_viento,presion_atmosferica,humedad_suelo,temp_superficie,punto_rocio,humedad_especifica,produccion_piso_ton_z,temp_promedio_z,temp_maxima_z,precipitacion_z,humedad_relativa_z,radiacion_solar_z,humedad_suelo_z,anomalia,score_anomalia,evento_conocido
Junin,sierra,Matahuasi,2024,4,Abril,1,14069.0,8.52,18.74,1.87,0.53,75.41,16.42,2.25,61.96,0.51,10.29,3.63,8.09,1.2679509211069029,1.5508325159953908,0.6371143021703338,-0.35759197854546143,0.6395215145458141,-0.5282945397704988,0.6115672378910588,False,0.4598163113760279,ninguno
Junin,selva_baja,Rio Tambo,2022,2,Febrero,2,9127.712,22.7,30.76,17.2,2.11,76.74,14.22,0.07,89.12,0.58,22.61,17.84,14.43,-1.0453179440029834,-1.2132920507607932,-1.4558524073522046,0.8209423526767176,1.126591905018068,-1.1408334154458781,0.8268527138518663,False,0.45969197266869216,ninguno
Junin,selva_alta,Rio Negro,2020,6,Junio,1,25824.7,24.06,31.89,17.47,1.19,64.92,14.76,0.06,89.34,0.55,24.0,16.32,13.07,-2.2219800567394326,-0.14832195912869356,-0.736538499295727,0.011770246430373454,-0.09687119498912342,-0.6752699233901708,-0.30521408900572217,False,0.4596419775335062,ninguno
La Libertad,costa,Viru,2021,2,Febrero,28,525325.6,22.29,29.81,17.83,0.08,71.39,22.86,1.92,94.0,0.38,24.59,16.53,12.61,-0.02267030056385069,1.4156156063810978,1.87078798270221,-0.5538348181288268,-0.7778493264485326,1.5660680320184173,-0.3703087397906099,False,0.45961560786185346,ninguno
Piura,sierra,Jilili,2020,2,Febrero,1,31609.12,18.43,26.61,12.57,4.31,78.48,15.05,1.37,80.34,0.49,19.82,14.07,12.56,-0.7189294138401433,0.7785341172819943,-0.27596088819242287,1.971203364844324,0.9479258610162655,-0.7256146131462464,0.4850482577913003,False,0.45958058450963474,ninguno
Junin,selva_alta,Rio Negro,2020,2,Febrero,1,41094.4,23.26,31.95,18.13,1.85,76.69,13.44,0.04,89.2,0.57,23.26,18.39,14.93,0.7698061216955558,-0.7747749542063972,-0.6983448404608706,0.5922632791723161,1.1214165111940109,-1.813314015081902,0.4494971128993354,False,0.4594058907565667,ninguno
Ica,costa,Nazca,2025,4,Abril,1,72.42,20.43,28.6,14.5,0.57,68.04,20.23,2.46,91.64,0.33,22.31,13.77,10.86,-0.6205141260333431,0.3783245166120592,0.4105123494488959,0.5151260868315612,0.6938882921374626,-0.45080132627511865,2.2717207908124224,False,0.4593978659136437,ninguno
La Libertad,yunga,Cascas,2025,4,Abril,7,5076.438,18.73,28.35,12.94,1.5,73.56,15.98,1.31,80.63,0.49,20.27,13.24,11.88,-0.9912475617376147,-0.3751795282490357,-0.4785923034618869,0.23466486232305794,1.2960315040255705,-1.2566787576838314,1.4928681846447258,False,0.4593520500869312,ninguno
Puno,altiplano_lacustre,Ilave,2021,10,Octubre,22,5585.9,10.57,19.14,3.57,2.91,63.0,27.42,3.33,63.83,0.43,15.52,2.67,7.5,-0.4794767851693644,0.9315544883568384,1.3585353057564162,0.6266578298041275,-0.3048590420044129,1.9942070836180827,-0.4316885034668742,False,0.4593465003547985,ninguno
La Libertad,costa,Viru,2024,7,Julio,28,552322.8604,19.83,28.02,13.6,0.01,66.59,18.66,2.43,94.09,0.37,20.78,12.94,10.0,0.28173949290169004,-0.29268174346329745,0.48119676250014004,-0.7017727381228345,-1.8016406896196293,-0.6672621219959627,-1.0697808038395458,False,0.4593114234431457,nino_costero_2023_2024
Piura,valle_chira,Ignacio Escudero,2022,6,Junio,1,175608.0,23.01,33.99,16.29,0.17,62.76,17.83,4.19,99.68,0.39,24.72,14.66,10.49,2.2187810232778844,-1.3102955627818935,-1.0358000443343192,-0.25642714994892724,0.2087380266176784,-0.6782328377208522,-0.6542057624241651,False,0.4590771732551855,ninguno
