region,cultivo,piso_asignado,distrito,produccion_total_ton,nivel_confianza,regla_asignacion,categoria_agronomica,justificacion
Puno,maiz_amarillo_duro,altiplano_lacustre,Ilave,21112.69,media,taxonomia_piso_prioridad,granos,Primer piso compatible en Puno: altiplano_lacustre (prioridad agronómica 6/6).
Puno,maiz_amilaceo,altiplano_lacustre,Ilave,29874.9,media,taxonomia_piso_prioridad,granos_andinos,Primer piso compatible en Puno: altiplano_lacustre (prioridad agronómica 3/4).
Puno,maiz_choclo,altiplano_lacustre,Ilave,420.4,media,taxonomia_piso_prioridad,granos,Primer piso compatible en Puno: altiplano_lacustre (prioridad agronómica 5/5).
Puno,mandarina,altiplano_lacustre,Ilave,43418.75,media,taxonomia_piso_prioridad,citricos,Primer piso compatible en Puno: altiplano_lacustre (prioridad agronómica 7/7).
Puno,naranja,altiplano_lacustre,Ilave,148757.1,media,taxonomia_piso_prioridad,citricos,Primer piso compatible en Puno: altiplano_lacustre (prioridad agronómica 9/9).
Puno,oca,puna_alta,Ayaviri,173001.92,alta,taxonomia_piso_prioridad,andinos,Primer piso compatible en Puno: puna_alta (prioridad agronómica 1/3).
Puno,olluco,puna_alta,Ayaviri,91993.38,alta,taxonomia_piso_prioridad,andinos,Primer piso compatible en Puno: puna_alta (prioridad agronómica 1/3).
Puno,oregano,altiplano_lacustre,Ilave,139.5,media,taxonomia_piso_prioridad,aromaticas,Primer piso compatible en Puno: altiplano_lacustre (prioridad agronómica 2/2).
Puno,papa,puna_alta,Ayaviri,4821685.93,alta,override_regional,andinos,Papa en puna; mayor volumen en Ayaviri vs altiplano lacustre.
Puno,papaya,altiplano_lacustre,Ilave,28282.98,media,taxonomia_piso_prioridad,frutales_tropicales,Primer piso compatible en Puno: altiplano_lacustre (prioridad agronómica 7/7).
Puno,pina,altiplano_lacustre,Ilave,136755.7,media,taxonomia_piso_prioridad,frutales_tropicales,Primer piso compatible en Puno: altiplano_lacustre (prioridad agronómica 4/4).
Puno,platano,altiplano_lacustre,Ilave,70300.55,media,taxonomia_piso_prioridad,frutales_tropicales,Primer piso compatible en Puno: altiplano_lacustre (prioridad agronómica 8/8).
Puno,quinua,puna_alta,Ayaviri,213670.97,alta,override_regional,andinos,Quinua en puna alta (Ayaviri).
Puno,trigo,puna_alta,Ayaviri,8254.86,media,taxonomia_piso_prioridad,granos_andinos,Primer piso compatible en Puno: puna_alta (prioridad agronómica 2/3).
Puno,yuca,altiplano_lacustre,Ilave,217851.16,media,taxonomia_piso_prioridad,raices,Primer piso compatible en Puno: altiplano_lacustre (prioridad agronómica 7/7).
Puno,zanahoria,altiplano_lacustre,Ilave,644.6,media,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Puno: altiplano_lacustre (prioridad agronómica 4/5).
Puno,zapallo,altiplano_lacustre,Ilave,4720.99,media,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Puno: altiplano_lacustre (prioridad agronómica 5/6).
San Martin,aji,selva_alto_mayo,Moyobamba,4350.5,media,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en San Martin: selva_alto_mayo (prioridad agronómica 5/6).
San Martin,algodon_rama,selva_alto_mayo,Moyobamba,2630.1,media,taxonomia_piso_prioridad,industrial,Primer piso compatible en San Martin: selva_alto_mayo (prioridad agronómica 3/3).
San Martin,arroz_cascara,selva_alto_mayo,Moyobamba,4913000.98,media,taxonomia_piso_prioridad,granos,Primer piso compatible en San Martin: selva_alto_mayo (prioridad agronómica 4/5).
San Martin,cacao,selva_huallaga,Tocache,362981.41,alta,override_regional,permanentes_selva,Corredor cacao coca histórico en Tocache (selva huallaga).
San Martin,cafe_pergamino,selva_alto_mayo,Moyobamba,455852.75,media,taxonomia_piso_prioridad,permanentes_selva,Primer piso compatible en San Martin: selva_alto_mayo (prioridad agronómica 2/4).
San Martin,frijol_grano_seco,selva_alto_mayo,Moyobamba,17562.28,media,taxonomia_piso_prioridad,leguminosas,Primer piso compatible en San Martin: selva_alto_mayo (prioridad agronómica 6/6).
San Martin,limon_sutil,selva_alto_mayo,Moyobamba,28534.16,media,taxonomia_piso_prioridad,citricos,Primer piso compatible en San Martin: selva_alto_mayo (prioridad agronómica 5/5).
San Martin,maiz_amarillo_duro,selva_alto_mayo,Moyobamba,1118594.85,media,taxonomia_piso_prioridad,granos,Primer piso compatible en San Martin: selva_alto_mayo (prioridad agronómica 5/6).
San Martin,mandarina,selva_alto_mayo,Moyobamba,2452.8,media,taxonomia_piso_prioridad,citricos,Primer piso compatible en San Martin: selva_alto_mayo (prioridad agronómica 4/7).
San Martin,mango,selva_alto_mayo,Moyobamba,8292.05,media,taxonomia_piso_prioridad,frutales_tropicales,Primer piso compatible en San Martin: selva_alto_mayo (prioridad agronómica 5/6).
San Martin,naranja,selva_alto_mayo,Moyobamba,449016.75,media,taxonomia_piso_prioridad,citricos,Primer piso compatible en San Martin: selva_alto_mayo (prioridad agronómica 4/9).
San Martin,palma_aceitera,selva_huallaga,Tocache,3021208.29,media,taxonomia_piso_prioridad,palma,Primer piso compatible en San Martin: selva_huallaga (prioridad agronómica 2/2).
San Martin,palta,selva_alto_mayo,Moyobamba,3739.8,media,taxonomia_piso_prioridad,frutales,Primer piso compatible en San Martin: selva_alto_mayo (prioridad agronómica 4/6).
San Martin,papaya,selva_alto_mayo,Moyobamba,157846.2,media,taxonomia_piso_prioridad,frutales_tropicales,Primer piso compatible en San Martin: selva_alto_mayo (prioridad agronómica 5/7).
San Martin,pina,selva_alto_mayo,Moyobamba,100629.3,media,taxonomia_piso_prioridad,frutales_tropicales,Primer piso compatible en San Martin: selva_alto_mayo (prioridad agronómica 2/4).
San Martin,platano,selva_huallaga,Tocache,2547538.15,alta,override_regional,frutales_tropicales,Plátano en selva baja/huallaga.
San Martin,tomate,selva_alto_mayo,Moyobamba,15921.4,media,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en San Martin: selva_alto_mayo (prioridad agronómica 5/6).
San Martin,yuca,selva_huallaga,Tocache,625033.14,media,taxonomia_piso_prioridad,raices,Primer piso compatible en San Martin: selva_huallaga (prioridad agronómica 5/7).
San Martin,zapallo,selva_alto_mayo,Moyobamba,251.1,media,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en San Martin: selva_alto_mayo (prioridad agronómica 6/6).
