region,cultivo,piso_asignado,distrito,produccion_total_ton,nivel_confianza,regla_asignacion,categoria_agronomica,justificacion
La Libertad,aji,costa,Viru,32089.82,alta,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/6).
La Libertad,ajo,costa,Viru,7267.51,alta,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/5).
La Libertad,alcachofa,costa,Viru,139506.37,alta,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/3).
La Libertad,alfalfa,costa,Viru,1262594.66,alta,taxonomia_piso_prioridad,forrajeros,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/6).
La Libertad,arandano,costa,Viru,880840.95,alta,taxonomia_piso_prioridad,frutales_bosque,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/2).
La Libertad,arroz_cascara,costa,Viru,1613590.2,alta,taxonomia_piso_prioridad,granos,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/5).
La Libertad,arveja_grano_seco,sierra,Huamachuco,63057.23,alta,taxonomia_piso_prioridad,leguminosas,Primer piso compatible en La Libertad: sierra (prioridad agronómica 1/4).
La Libertad,arveja_verde,sierra,Huamachuco,30815.8,alta,taxonomia_piso_prioridad,leguminosas,Primer piso compatible en La Libertad: sierra (prioridad agronómica 1/4).
La Libertad,avena_forrajera,sierra,Huamachuco,96287.55,alta,taxonomia_piso_prioridad,forrajeros,Primer piso compatible en La Libertad: sierra (prioridad agronómica 1/3).
La Libertad,cafe_pergamino,sierra,Huamachuco,1058.71,media,taxonomia_piso_prioridad,permanentes_selva,Primer piso compatible en La Libertad: sierra (prioridad agronómica 3/4).
La Libertad,camote,costa,Viru,40010.73,alta,taxonomia_piso_prioridad,raices,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/8).
La Libertad,cana_para_azucar,costa,Viru,28614989.25,alta,override_regional,industrial,Agroindustria azucarera concentrada en costa norte (Virú).
La Libertad,cebada_forrajera,sierra,Huamachuco,3195.0,alta,taxonomia_piso_prioridad,forrajeros,Primer piso compatible en La Libertad: sierra (prioridad agronómica 1/3).
La Libertad,cebada_grano,sierra,Huamachuco,383232.31,alta,taxonomia_piso_prioridad,granos_andinos,Primer piso compatible en La Libertad: sierra (prioridad agronómica 1/3).
La Libertad,cebolla,costa,Viru,211938.25,alta,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/5).
La Libertad,esparrago,costa,Viru,854391.75,alta,taxonomia_piso_prioridad,agroexportacion_costa,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/1).
La Libertad,frijol_grano_seco,yunga,Cascas,21891.26,alta,override_regional,leguminosas,"Frijol en ceja de selva/yunga (Cascas), coherente con v1 revisado."
La Libertad,granadilla,yunga,Cascas,10208.41,alta,taxonomia_piso_prioridad,frutales,Primer piso compatible en La Libertad: yunga (prioridad agronómica 1/4).
La Libertad,haba_grano_seco,sierra,Huamachuco,37634.17,alta,override_regional,leguminosas,Haba en sierra libertense (Huamachuco).
La Libertad,limon_sutil,costa,Viru,3474.86,alta,taxonomia_piso_prioridad,citricos,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/5).
La Libertad,maiz_amarillo_duro,costa,Viru,649728.64,alta,taxonomia_piso_prioridad,granos,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/6).
La Libertad,maiz_amilaceo,sierra,Huamachuco,140094.65,alta,taxonomia_piso_prioridad,granos_andinos,Primer piso compatible en La Libertad: sierra (prioridad agronómica 1/4).
La Libertad,maiz_chala,costa,Viru,1129629.9,alta,taxonomia_piso_prioridad,granos,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/5).
La Libertad,maiz_choclo,costa,Viru,71121.8,alta,taxonomia_piso_prioridad,granos,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/5).
La Libertad,mandarina,costa,Viru,54233.05,alta,taxonomia_piso_prioridad,citricos,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/7).
La Libertad,mango,costa,Viru,28252.55,alta,taxonomia_piso_prioridad,frutales_tropicales,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/6).
La Libertad,manzana,yunga,Cascas,4247.35,alta,taxonomia_piso_prioridad,frutales_templados,Primer piso compatible en La Libertad: yunga (prioridad agronómica 1/2).
La Libertad,melocoton,yunga,Cascas,448.67,alta,taxonomia_piso_prioridad,frutales_templados,Primer piso compatible en La Libertad: yunga (prioridad agronómica 1/2).
La Libertad,naranja,costa,Viru,9025.75,alta,taxonomia_piso_prioridad,citricos,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/9).
La Libertad,oca,sierra,Huamachuco,35581.7,media,taxonomia_piso_prioridad,andinos,Primer piso compatible en La Libertad: sierra (prioridad agronómica 3/3).
La Libertad,olluco,sierra,Huamachuco,58150.2,media,taxonomia_piso_prioridad,andinos,Primer piso compatible en La Libertad: sierra (prioridad agronómica 3/3).
La Libertad,oregano,sierra,Huamachuco,1.0,alta,taxonomia_piso_prioridad,aromaticas,Primer piso compatible en La Libertad: sierra (prioridad agronómica 1/2).
