region,piso_ecologico,distrito,cultivo,anio,numero_mes,mes,produccion_ton,temp_promedio,temp_maxima,temp_minima,precipitacion,humedad_relativa,radiacion_solar,velocidad_viento,presion_atmosferica,humedad_suelo,temp_superficie,punto_rocio,humedad_especifica
Ica,costa,Chincha Alta,naranja,2020,3,Marzo,0.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,pallar_grano_seco,2020,3,Marzo,16.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,palta,2020,3,Marzo,6100.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,papa,2020,3,Marzo,169.2,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,papaya,2020,3,Marzo,19.4,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,paprika,2020,3,Marzo,238.65,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,pimiento,2020,3,Marzo,0.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,tangelo,2020,3,Marzo,0.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,tomate,2020,3,Marzo,7764.3,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,tuna,2020,3,Marzo,114.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,uva,2020,3,Marzo,35329.05,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,yuca,2020,3,Marzo,501.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,zanahoria,2020,3,Marzo,142.8,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,zapallo,2020,3,Marzo,299.65,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Chincha Alta,aceituna,2020,4,Abril,2891.8,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,aji,2020,4,Abril,248.05,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,ajo,2020,4,Abril,0.0,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,alcachofa,2020,4,Abril,0.0,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
