region,anio,mes_num,mes_nombre,cultivo,produccion_mensual
Ica,2020,6,Junio,pimiento,0.0
Ica,2020,6,Junio,pina,0.0
Ica,2020,6,Junio,piquillo,0.0
Ica,2020,6,Junio,platano,203.25000000000023
Ica,2020,6,Junio,quinua,0.0
Ica,2020,6,Junio,tangelo,1333.9
Ica,2020,6,Junio,tomate,1697.800000000003
Ica,2020,6,Junio,trigo,20.25
Ica,2020,6,Junio,tuna,
Ica,2020,6,Junio,uva,1.0
Ica,2020,6,Junio,yuca,319.79999999999995
Ica,2020,6,Junio,zanahoria,0.0
Ica,2020,6,Junio,zapallo,1897.0000000000005
Ica,2020,7,Julio,aceituna,76.35000000000036
Ica,2020,7,Julio,aji,1247.6999999999998
Ica,2020,7,Julio,ajo,0.0
Ica,2020,7,Julio,alcachofa,122.0
Ica,2020,7,Julio,alfalfa,10732.11
Ica,2020,7,Julio,algodon_rama,208.29999999999927
Ica,2020,7,Julio,arandano,46.1
Ica,2020,7,Julio,arroz_cascara,0.0
Ica,2020,7,Julio,arveja_grano_seco,0.0
Ica,2020,7,Julio,arveja_verde,78.72
Ica,2020,7,Julio,avena_forrajera,0.0
Ica,2020,7,Julio,cacao,0.0
Ica,2020,7,Julio,cafe_pergamino,0.0
Ica,2020,7,Julio,camote,2778.3999999999996
Ica,2020,7,Julio,cana_para_azucar,0.0
Ica,2020,7,Julio,cebada_forrajera,0.0
Ica,2020,7,Julio,cebada_grano,24.49000000000001
Ica,2020,7,Julio,cebolla,4256.5
Ica,2020,7,Julio,esparrago,14856.820000000007
Ica,2020,7,Julio,frijol_grano_seco,25.36
Ica,2020,7,Julio,granadilla,0.0
Ica,2020,7,Julio,haba_grano_seco,0.0
Ica,2020,7,Julio,limon_sutil,272.03
Ica,2020,7,Julio,maiz_amarillo_duro,8190.610000000001
Ica,2020,7,Julio,maiz_amilaceo,33.8
Ica,2020,7,Julio,maiz_chala,0.0
Ica,2020,7,Julio,maiz_choclo,594.8
Ica,2020,7,Julio,mandarina,44502.600000000006
Ica,2020,7,Julio,mango,0.0
Ica,2020,7,Julio,manzana,2.7999999999999545
Ica,2020,7,Julio,melocoton,0.0
Ica,2020,7,Julio,naranja,14112.900000000001
Ica,2020,7,Julio,oca,0.0
Ica,2020,7,Julio,olluco,0.0
Ica,2020,7,Julio,oregano,0.0
Ica,2020,7,Julio,pallar_grano_seco,35.999999999999986
Ica,2020,7,Julio,palma_aceitera,0.0
Ica,2020,7,Julio,palta,16008.32
Ica,2020,7,Julio,papa,19673.199999999997
Ica,2020,7,Julio,papaya,46.150000000000006
Ica,2020,7,Julio,paprika,15.299999999999955
Ica,2020,7,Julio,pimiento,0.0
Ica,2020,7,Julio,pina,0.0
Ica,2020,7,Julio,piquillo,0.0
Ica,2020,7,Julio,platano,209.37999999999988
Ica,2020,7,Julio,quinua,0.0
Ica,2020,7,Julio,tangelo,19477.299999999996
Ica,2020,7,Julio,tomate,1742.699999999997
Ica,2020,7,Julio,trigo,39.85
Ica,2020,7,Julio,tuna,0.0
Ica,2020,7,Julio,uva,285.0
Ica,2020,7,Julio,yuca,804.9000000000001
Ica,2020,7,Julio,zanahoria,0.0
Ica,2020,7,Julio,zapallo,3153.67
Ica,2020,8,Agosto,aceituna,73.73999999999978
Ica,2020,8,Agosto,aji,579.0
Ica,2020,8,Agosto,ajo,0.0
Ica,2020,8,Agosto,alcachofa,280.0
Ica,2020,8,Agosto,alfalfa,11311.470000000001
Ica,2020,8,Agosto,algodon_rama,10.399999999999636
Ica,2020,8,Agosto,arandano,303.01
Ica,2020,8,Agosto,arroz_cascara,0.0
Ica,2020,8,Agosto,arveja_grano_seco,0.0
Ica,2020,8,Agosto,arveja_verde,31.94999999999999
Ica,2020,8,Agosto,avena_forrajera,0.0
Ica,2020,8,Agosto,cacao,0.0
Ica,2020,8,Agosto,cafe_pergamino,0.0
Ica,2020,8,Agosto,camote,1601.800000000001
Ica,2020,8,Agosto,cana_para_azucar,0.0
Ica,2020,8,Agosto,cebada_forrajera,0.0
Ica,2020,8,Agosto,cebada_grano,0.0
Ica,2020,8,Agosto,cebolla,12266.650000000001
Ica,2020,8,Agosto,esparrago,12661.399999999994
Ica,2020,8,Agosto,frijol_grano_seco,5.18
Ica,2020,8,Agosto,granadilla,0.0
Ica,2020,8,Agosto,haba_grano_seco,0.0
Ica,2020,8,Agosto,limon_sutil,197.79999999999995
Ica,2020,8,Agosto,maiz_amarillo_duro,6496.649999999994
Ica,2020,8,Agosto,maiz_amilaceo,27.700000000000003
Ica,2020,8,Agosto,maiz_chala,0.0
Ica,2020,8,Agosto,maiz_choclo,2148.05
Ica,2020,8,Agosto,mandarina,21562.48000000001
Ica,2020,8,Agosto,mango,0.0
Ica,2020,8,Agosto,manzana,137.8499999999999
Ica,2020,8,Agosto,melocoton,0.0
Ica,2020,8,Agosto,naranja,10127.77
Ica,2020,8,Agosto,oca,0.0
Ica,2020,8,Agosto,olluco,0.0
Ica,2020,8,Agosto,oregano,0.0
Ica,2020,8,Agosto,pallar_grano_seco,173.19
Ica,2020,8,Agosto,palma_aceitera,0.0
Ica,2020,8,Agosto,palta,4745.300000000003
Ica,2020,8,Agosto,papa,49249.600000000006
Ica,2020,8,Agosto,papaya,38.03999999999999
Ica,2020,8,Agosto,paprika,0.0
Ica,2020,8,Agosto,pimiento,99.0
Ica,2020,8,Agosto,pina,0.0
Ica,2020,8,Agosto,piquillo,0.0
Ica,2020,8,Agosto,platano,227.70000000000005
Ica,2020,8,Agosto,quinua,0.0
Ica,2020,8,Agosto,tangelo,7208.699999999997
Ica,2020,8,Agosto,tomate,3238.800000000003
Ica,2020,8,Agosto,trigo,0.0
Ica,2020,8,Agosto,tuna,0.0
Ica,2020,8,Agosto,uva,46.0
Ica,2020,8,Agosto,yuca,1122.1
Ica,2020,8,Agosto,zanahoria,0.0
Ica,2020,8,Agosto,zapallo,2336.75
Ica,2020,9,Septiembre,aceituna,0.0
Ica,2020,9,Septiembre,aji,893.8000000000002
Ica,2020,9,Septiembre,ajo,0.0
Ica,2020,9,Septiembre,alcachofa,855.0
Ica,2020,9,Septiembre,alfalfa,10362.919999999998
Ica,2020,9,Septiembre,algodon_rama,27.84899999999834
Ica,2020,9,Septiembre,arandano,893.4
Ica,2020,9,Septiembre,arroz_cascara,0.0
Ica,2020,9,Septiembre,arveja_grano_seco,0.0
Ica,2020,9,Septiembre,arveja_verde,25.5
Ica,2020,9,Septiembre,avena_forrajera,0.0
Ica,2020,9,Septiembre,cacao,0.0
Ica,2020,9,Septiembre,cafe_pergamino,0.0
Ica,2020,9,Septiembre,camote,1700.920000000002
Ica,2020,9,Septiembre,cana_para_azucar,0.0
Ica,2020,9,Septiembre,cebada_forrajera,0.0
Ica,2020,9,Septiembre,cebada_grano,
Ica,2020,9,Septiembre,cebolla,7048.700000000004
Ica,2020,9,Septiembre,esparrago,20162.850000000006
Ica,2020,9,Septiembre,frijol_grano_seco,86.5
Ica,2020,9,Septiembre,granadilla,0.0
Ica,2020,9,Septiembre,haba_grano_seco,0.0
Ica,2020,9,Septiembre,limon_sutil,107.74000000000001
Ica,2020,9,Septiembre,maiz_amarillo_duro,5945.0
Ica,2020,9,Septiembre,maiz_amilaceo,8.099999999999994
Ica,2020,9,Septiembre,maiz_chala,0.0
Ica,2020,9,Septiembre,maiz_choclo,10229.05
Ica,2020,9,Septiembre,mandarina,2982.889999999985
Ica,2020,9,Septiembre,mango,1.8189894035458565e-12
Ica,2020,9,Septiembre,manzana,0.0
Ica,2020,9,Septiembre,melocoton,0.0
Ica,2020,9,Septiembre,naranja,5373.199999999993
Ica,2020,9,Septiembre,oca,0.0
Ica,2020,9,Septiembre,olluco,0.0
Ica,2020,9,Septiembre,oregano,0.0
Ica,2020,9,Septiembre,pallar_grano_seco,402.84900000000005
Ica,2020,9,Septiembre,palma_aceitera,0.0
Ica,2020,9,Septiembre,palta,
Ica,2020,9,Septiembre,papa,35117.630000000005
Ica,2020,9,Septiembre,papaya,85.0
Ica,2020,9,Septiembre,paprika,20.799999999999955
Ica,2020,9,Septiembre,pimiento,96.5
Ica,2020,9,Septiembre,pina,0.0
Ica,2020,9,Septiembre,piquillo,0.0
Ica,2020,9,Septiembre,platano,214.5
Ica,2020,9,Septiembre,quinua,0.0
Ica,2020,9,Septiembre,tangelo,2548.519000000004
Ica,2020,9,Septiembre,tomate,3741.0999999999985
Ica,2020,9,Septiembre,trigo,0.0
Ica,2020,9,Septiembre,tuna,
Ica,2020,9,Septiembre,uva,47.999999999970896
