region,piso_ecologico,distrito,anio,numero_mes,mes,num_cultivos,produccion_piso_ton,temp_promedio,temp_maxima,temp_minima,precipitacion,humedad_relativa,radiacion_solar,velocidad_viento,presion_atmosferica,humedad_suelo,temp_superficie,punto_rocio,humedad_especifica
Junin,selva_alta,Perene,2023,1,Enero,14,101264.29,19.07,27.4,13.82,1.22,76.98,13.75,0.8,82.54,0.5,19.58,14.42,12.56
Junin,selva_alta,Perene,2023,2,Febrero,14,107812.674,19.52,27.94,13.99,1.01,76.7,13.52,0.84,82.56,0.52,20.03,14.83,12.89
Junin,selva_alta,Perene,2023,3,Marzo,14,115992.23,18.83,26.75,13.89,2.74,81.85,14.07,0.71,82.59,0.57,19.19,15.24,13.26
Junin,selva_alta,Perene,2023,4,Abril,14,116655.508,19.92,27.35,14.53,0.19,74.59,15.07,0.72,82.6,0.54,20.33,14.68,12.78
Junin,selva_alta,Perene,2023,5,Mayo,14,120893.529,20.02,27.83,13.62,0.2,70.72,14.04,0.69,82.76,0.52,20.45,13.99,12.21
Junin,selva_alta,Perene,2023,6,Junio,14,124265.098,19.54,27.69,12.78,0.1,63.87,16.16,0.69,82.85,0.51,19.82,11.84,10.62
Junin,selva_alta,Perene,2023,7,Julio,14,113871.01,20.42,27.75,14.74,0.03,63.58,16.93,0.71,82.84,0.5,20.91,12.66,11.17
Junin,selva_alta,Perene,2023,8,Agosto,14,93392.698,20.99,30.04,14.11,0.04,60.44,17.41,0.74,82.76,0.49,21.43,12.53,11.07
Junin,selva_alta,Perene,2023,9,Septiembre,14,88480.59,21.82,30.26,16.14,0.17,59.36,15.95,0.81,82.66,0.48,22.39,13.0,11.44
Junin,selva_alta,Perene,2023,10,Octubre,14,86195.14,22.49,30.88,16.45,0.53,62.17,15.34,0.9,82.57,0.48,23.12,14.26,12.42
Junin,selva_alta,Perene,2023,11,Noviembre,14,92990.889,21.51,29.97,15.71,0.68,69.14,14.62,0.93,82.52,0.48,22.25,15.02,13.05
Junin,selva_alta,Perene,2023,12,Diciembre,14,97998.823,20.33,27.89,15.71,1.86,78.83,13.86,0.78,82.56,0.51,20.73,16.03,13.98
Junin,selva_alta,Perene,2024,1,Enero,14,102900.215,20.79,28.8,15.09,1.08,76.98,14.0,0.88,82.61,0.52,21.37,16.06,13.96
Junin,selva_alta,Perene,2024,2,Febrero,14,111802.93,20.66,29.21,15.63,1.18,75.33,14.44,0.81,82.65,0.52,21.12,15.56,13.52
Junin,selva_alta,Perene,2024,3,Marzo,14,117614.937,20.71,28.46,15.29,1.06,75.75,14.53,0.8,82.67,0.53,21.08,15.71,13.65
Junin,selva_alta,Perene,2024,4,Abril,14,119523.16,21.32,29.01,16.19,0.39,73.31,14.9,0.75,82.63,0.53,21.83,15.8,13.72
Junin,selva_alta,Perene,2024,5,Mayo,14,123538.66,21.07,29.29,14.47,0.54,70.88,15.42,0.71,82.73,0.51,21.56,14.99,13.03
