region,anio,mes_num,mes_nombre,cultivo,produccion_acumulada
La Libertad,2022,2,Febrero,tangelo,0.0
La Libertad,2022,3,Marzo,tangelo,
La Libertad,2022,4,Abril,tangelo,0.0
La Libertad,2022,5,Mayo,tangelo,0.0
La Libertad,2022,6,Junio,tangelo,0.0
La Libertad,2022,7,Julio,tangelo,0.0
La Libertad,2022,8,Agosto,tangelo,0.0
La Libertad,2022,9,Septiembre,tangelo,0.0
La Libertad,2022,10,Octubre,tangelo,0.0
La Libertad,2022,11,Noviembre,tangelo,0.0
La Libertad,2022,12,Diciembre,tangelo,0.0
La Libertad,2023,1,Enero,tangelo,0.0
La Libertad,2023,2,Febrero,tangelo,0.0
La Libertad,2023,3,Marzo,tangelo,0.0
La Libertad,2023,4,Abril,tangelo,0.0
La Libertad,2023,5,Mayo,tangelo,0.0
La Libertad,2023,6,Junio,tangelo,0.0
La Libertad,2023,7,Julio,tangelo,0.0
La Libertad,2023,8,Agosto,tangelo,0.0
La Libertad,2023,9,Septiembre,tangelo,0.0
La Libertad,2023,10,Octubre,tangelo,0.0
La Libertad,2023,11,Noviembre,tangelo,0.0
La Libertad,2023,12,Diciembre,tangelo,0.0
La Libertad,2024,1,Enero,tangelo,0.0
La Libertad,2024,2,Febrero,tangelo,0.0
La Libertad,2024,3,Marzo,tangelo,0.0
La Libertad,2024,4,Abril,tangelo,0.0
La Libertad,2024,5,Mayo,tangelo,0.0
La Libertad,2024,6,Junio,tangelo,0.0
La Libertad,2024,7,Julio,tangelo,0.0
La Libertad,2024,8,Agosto,tangelo,0.0
La Libertad,2024,9,Septiembre,tangelo,0.0
La Libertad,2024,10,Octubre,tangelo,0.0
La Libertad,2024,11,Noviembre,tangelo,0.0
La Libertad,2024,12,Diciembre,tangelo,0.0
La Libertad,2025,1,Enero,tangelo,0.0
La Libertad,2025,2,Febrero,tangelo,0.0
La Libertad,2025,3,Marzo,tangelo,0.0
La Libertad,2025,4,Abril,tangelo,0.0
La Libertad,2025,5,Mayo,tangelo,0.0
La Libertad,2025,6,Junio,tangelo,0.0
La Libertad,2025,7,Julio,tangelo,0.0
La Libertad,2025,8,Agosto,tangelo,0.0
La Libertad,2025,9,Septiembre,tangelo,0.0
La Libertad,2025,10,Octubre,tangelo,0.0
La Libertad,2025,11,Noviembre,tangelo,0.0
La Libertad,2025,12,Diciembre,tangelo,0.0
Piura,2020,1,Enero,tangelo,0.0
Piura,2020,2,Febrero,tangelo,0.0
Piura,2020,3,Marzo,tangelo,0.0
Piura,2020,4,Abril,tangelo,0.0
Piura,2020,5,Mayo,tangelo,0.0
Piura,2020,6,Junio,tangelo,0.0
Piura,2020,7,Julio,tangelo,0.0
Piura,2020,8,Agosto,tangelo,0.0
Piura,2020,9,Septiembre,tangelo,0.0
Piura,2020,10,Octubre,tangelo,0.0
Piura,2020,11,Noviembre,tangelo,0.0
Piura,2020,12,Diciembre,tangelo,
Piura,2021,1,Enero,tangelo,0.0
Piura,2021,2,Febrero,tangelo,0.0
Piura,2021,3,Marzo,tangelo,0.0
Piura,2021,4,Abril,tangelo,0.0
Piura,2021,5,Mayo,tangelo,
Piura,2021,6,Junio,tangelo,0.0
Piura,2021,7,Julio,tangelo,0.0
Piura,2021,8,Agosto,tangelo,0.0
Piura,2021,9,Septiembre,tangelo,0.0
Piura,2021,10,Octubre,tangelo,0.0
Piura,2021,11,Noviembre,tangelo,0.0
Piura,2021,12,Diciembre,tangelo,0.0
Piura,2022,1,Enero,tangelo,0.0
Piura,2022,2,Febrero,tangelo,0.0
Piura,2022,3,Marzo,tangelo,
Piura,2022,4,Abril,tangelo,0.0
Piura,2022,5,Mayo,tangelo,0.0
Piura,2022,6,Junio,tangelo,0.0
Piura,2022,7,Julio,tangelo,0.0
Piura,2022,8,Agosto,tangelo,0.0
Piura,2022,9,Septiembre,tangelo,0.0
Piura,2022,10,Octubre,tangelo,0.0
Piura,2022,11,Noviembre,tangelo,0.0
Piura,2022,12,Diciembre,tangelo,0.0
Piura,2023,1,Enero,tangelo,0.0
Piura,2023,2,Febrero,tangelo,0.0
Piura,2023,3,Marzo,tangelo,0.0
Piura,2023,4,Abril,tangelo,0.0
Piura,2023,5,Mayo,tangelo,0.0
Piura,2023,6,Junio,tangelo,0.0
Piura,2023,7,Julio,tangelo,0.0
Piura,2023,8,Agosto,tangelo,0.0
Piura,2023,9,Septiembre,tangelo,0.0
Piura,2023,10,Octubre,tangelo,0.0
Piura,2023,11,Noviembre,tangelo,0.0
Piura,2023,12,Diciembre,tangelo,0.0
Piura,2024,1,Enero,tangelo,0.0
Piura,2024,2,Febrero,tangelo,0.0
Piura,2024,3,Marzo,tangelo,0.0
Piura,2024,4,Abril,tangelo,0.0
Piura,2024,5,Mayo,tangelo,0.0
Piura,2024,6,Junio,tangelo,0.0
Piura,2024,7,Julio,tangelo,0.0
Piura,2024,8,Agosto,tangelo,0.0
Piura,2024,9,Septiembre,tangelo,0.0
Piura,2024,10,Octubre,tangelo,0.0
Piura,2024,11,Noviembre,tangelo,0.0
Piura,2024,12,Diciembre,tangelo,0.0
Piura,2025,1,Enero,tangelo,0.0
Piura,2025,2,Febrero,tangelo,0.0
Piura,2025,3,Marzo,tangelo,0.0
Piura,2025,4,Abril,tangelo,0.0
Piura,2025,5,Mayo,tangelo,0.0
Piura,2025,6,Junio,tangelo,0.0
Piura,2025,7,Julio,tangelo,0.0
Piura,2025,8,Agosto,tangelo,0.0
Piura,2025,9,Septiembre,tangelo,0.0
Piura,2025,10,Octubre,tangelo,0.0
Piura,2025,11,Noviembre,tangelo,0.0
Piura,2025,12,Diciembre,tangelo,0.0
Puno,2020,1,Enero,tangelo,0.0
Puno,2020,2,Febrero,tangelo,0.0
Puno,2020,3,Marzo,tangelo,0.0
Puno,2020,4,Abril,tangelo,0.0
Puno,2020,5,Mayo,tangelo,0.0
Puno,2020,6,Junio,tangelo,0.0
Puno,2020,7,Julio,tangelo,0.0
Puno,2020,8,Agosto,tangelo,0.0
Puno,2020,9,Septiembre,tangelo,0.0
Puno,2020,10,Octubre,tangelo,0.0
Puno,2020,11,Noviembre,tangelo,0.0
Puno,2020,12,Diciembre,tangelo,
Puno,2021,1,Enero,tangelo,0.0
Puno,2021,2,Febrero,tangelo,0.0
Puno,2021,3,Marzo,tangelo,0.0
Puno,2021,4,Abril,tangelo,0.0
Puno,2021,5,Mayo,tangelo,
Puno,2021,6,Junio,tangelo,0.0
Puno,2021,7,Julio,tangelo,0.0
Puno,2021,8,Agosto,tangelo,0.0
Puno,2021,9,Septiembre,tangelo,0.0
Puno,2021,10,Octubre,tangelo,0.0
Puno,2021,11,Noviembre,tangelo,0.0
Puno,2021,12,Diciembre,tangelo,0.0
Puno,2022,1,Enero,tangelo,0.0
Puno,2022,2,Febrero,tangelo,0.0
Puno,2022,3,Marzo,tangelo,
Puno,2022,4,Abril,tangelo,0.0
Puno,2022,5,Mayo,tangelo,0.0
Puno,2022,6,Junio,tangelo,0.0
Puno,2022,7,Julio,tangelo,0.0
Puno,2022,8,Agosto,tangelo,0.0
Puno,2022,9,Septiembre,tangelo,0.0
Puno,2022,10,Octubre,tangelo,0.0
Puno,2022,11,Noviembre,tangelo,0.0
Puno,2022,12,Diciembre,tangelo,0.0
Puno,2023,1,Enero,tangelo,0.0
Puno,2023,2,Febrero,tangelo,0.0
Puno,2023,3,Marzo,tangelo,0.0
Puno,2023,4,Abril,tangelo,0.0
Puno,2023,5,Mayo,tangelo,0.0
Puno,2023,6,Junio,tangelo,0.0
Puno,2023,7,Julio,tangelo,0.0
Puno,2023,8,Agosto,tangelo,0.0
Puno,2023,9,Septiembre,tangelo,0.0
Puno,2023,10,Octubre,tangelo,0.0
Puno,2023,11,Noviembre,tangelo,0.0
Puno,2023,12,Diciembre,tangelo,0.0
Puno,2024,1,Enero,tangelo,0.0
Puno,2024,2,Febrero,tangelo,0.0
Puno,2024,3,Marzo,tangelo,0.0
Puno,2024,4,Abril,tangelo,0.0
Puno,2024,5,Mayo,tangelo,0.0
Puno,2024,6,Junio,tangelo,0.0
Puno,2024,7,Julio,tangelo,0.0
Puno,2024,8,Agosto,tangelo,0.0
Puno,2024,9,Septiembre,tangelo,0.0
Puno,2024,10,Octubre,tangelo,0.0
Puno,2024,11,Noviembre,tangelo,0.0
Puno,2024,12,Diciembre,tangelo,0.0
Puno,2025,1,Enero,tangelo,0.0
Puno,2025,2,Febrero,tangelo,0.0
Puno,2025,3,Marzo,tangelo,0.0
Puno,2025,4,Abril,tangelo,0.0
Puno,2025,5,Mayo,tangelo,0.0
Puno,2025,6,Junio,tangelo,0.0
Puno,2025,7,Julio,tangelo,0.0
Puno,2025,8,Agosto,tangelo,0.0
Puno,2025,9,Septiembre,tangelo,0.0
Puno,2025,10,Octubre,tangelo,0.0
Puno,2025,11,Noviembre,tangelo,0.0
Puno,2025,12,Diciembre,tangelo,0.0
San Martin,2020,1,Enero,tangelo,0.0
San Martin,2020,2,Febrero,tangelo,0.0
San Martin,2020,3,Marzo,tangelo,0.0
San Martin,2020,4,Abril,tangelo,0.0
San Martin,2020,5,Mayo,tangelo,0.0
San Martin,2020,6,Junio,tangelo,0.0
San Martin,2020,7,Julio,tangelo,0.0
San Martin,2020,8,Agosto,tangelo,0.0
San Martin,2020,9,Septiembre,tangelo,0.0
San Martin,2020,10,Octubre,tangelo,0.0
San Martin,2020,11,Noviembre,tangelo,0.0
San Martin,2020,12,Diciembre,tangelo,
San Martin,2021,1,Enero,tangelo,0.0
San Martin,2021,2,Febrero,tangelo,0.0
San Martin,2021,3,Marzo,tangelo,0.0
San Martin,2021,4,Abril,tangelo,0.0
San Martin,2021,5,Mayo,tangelo,
San Martin,2021,6,Junio,tangelo,0.0
San Martin,2021,7,Julio,tangelo,0.0
San Martin,2021,8,Agosto,tangelo,0.0
San Martin,2021,9,Septiembre,tangelo,0.0
San Martin,2021,10,Octubre,tangelo,0.0
San Martin,2021,11,Noviembre,tangelo,0.0
San Martin,2021,12,Diciembre,tangelo,0.0
San Martin,2022,1,Enero,tangelo,0.0
San Martin,2022,2,Febrero,tangelo,0.0
San Martin,2022,3,Marzo,tangelo,
San Martin,2022,4,Abril,tangelo,0.0
San Martin,2022,5,Mayo,tangelo,0.0
San Martin,2022,6,Junio,tangelo,0.0
San Martin,2022,7,Julio,tangelo,0.0
San Martin,2022,8,Agosto,tangelo,0.0
San Martin,2022,9,Septiembre,tangelo,0.0
San Martin,2022,10,Octubre,tangelo,0.0
San Martin,2022,11,Noviembre,tangelo,0.0
San Martin,2022,12,Diciembre,tangelo,0.0
San Martin,2023,1,Enero,tangelo,0.0
San Martin,2023,2,Febrero,tangelo,0.0
San Martin,2023,3,Marzo,tangelo,0.0
San Martin,2023,4,Abril,tangelo,0.0
San Martin,2023,5,Mayo,tangelo,0.0
San Martin,2023,6,Junio,tangelo,0.0
San Martin,2023,7,Julio,tangelo,0.0
